country,b1_pixel,b2_pixel,overlap
NL,4634.0,2861.0,1767
NL,8475.0,8214.0,4437
NL,9795.0,4137.0,2824
NL,13140.0,6027.0,3775
NL,2793.0,2837.0,1523
NL,45993.0,16243.0,11207
NL,19416.0,7202.0,5138
NL,625.0,554.0,327
NL,34081.0,14187.0,10053
NL,46472.0,17732.0,12699
NL,413.0,328.0,198
NL,29190.0,12401.0,8054
NL,57184.0,18135.0,13497
NL,54188.0,17942.0,13126
NL,33677.0,14850.0,10123
NL,49619.0,21153.0,14305
NL,18461.0,10778.0,6914
NL,1546.0,2045.0,990
NL,13416.0,5373.0,3135
NL,10280.0,3146.0,1832
NL,5874.0,2488.0,1471
NL,45836.0,16883.0,11999
NL,53836.0,17823.0,12420
NL,5546.0,4690.0,2696
NL,43727.0,16506.0,11334
NL,40308.0,19744.0,13317
NL,27005.0,14245.0,9302
NL,6274.0,4133.0,2285
NL,18164.0,10803.0,7438
NL,1745.0,1484.0,755
NL,36603.0,13099.0,8933
NL,10512.0,7551.0,4545
NL,55763.0,18712.0,13893
NL,55618.0,21586.0,16102
NL,15177.0,5489.0,3632
NL,42424.0,17123.0,12893
NL,44173.0,16449.0,11611
NL,2060.0,1019.0,497
NL,1478.0,1234.0,595
NL,2863.0,2414.0,1418
NL,3396.0,2930.0,1526
NL,19893.0,14206.0,8141
NL,2016.0,1707.0,958
NL,30388.0,16167.0,11225
NL,41731.0,21497.0,14509
NL,48639.0,18295.0,12916
NL,47625.0,16247.0,12806
NL,56264.0,19806.0,14688
NL,17875.0,7765.0,5279
NL,3.0,10.0,3
NL,32194.0,27409.0,19605
NL,42897.0,28066.0,21380
NL,29818.0,19268.0,13746
NL,751.0,788.0,424
NL,49325.0,23306.0,16674
NL,45630.0,20630.0,15046
NL,9336.0,5136.0,3520
NL,46818.0,17840.0,13098
NL,34045.0,16559.0,10747
NL,1932.0,2490.0,1152
NL,39.0,66.0,33
NL,49605.0,35381.0,28367
NL,1003.0,1418.0,753
NL,17890.0,1905.0,1019
NL,332.0,345.0,194
NL,37790.0,16309.0,11512
NL,48215.0,17905.0,13253
NL,7298.0,3720.0,2037
NL,52580.0,18907.0,13997
NL,7172.0,3801.0,2226
NL,9079.0,7571.0,4202
NL,39939.0,33592.0,25651
NL,11506.0,10090.0,7240
NL,4581.0,4859.0,3553
NL,30756.0,24808.0,19081
NL,23584.0,1800.0,1004
NL,30651.0,14065.0,10488
NL,44375.0,23686.0,16502
NL,41814.0,17823.0,12882
NL,25449.0,11431.0,8088
NL,46690.0,12856.0,8619
NL,7289.0,5691.0,3698
NL,375.0,532.0,251
NL,15168.0,12053.0,7672
NL,9142.0,9762.0,5883
NL,9888.0,11209.0,7364
NL,33816.0,31110.0,24608
NL,24907.0,18576.0,13495
NL,4650.0,4729.0,2961
NL,25051.0,18277.0,11403
NL,21427.0,13942.0,9326
NL,45215.0,18234.0,13509
NL,3441.0,3001.0,1836
NL,37650.0,16587.0,12353
NL,26983.0,16018.0,11530
NL,427.0,548.0,269
NL,2363.0,1832.0,858
NL,8909.0,6623.0,3965
NL,10059.0,6211.0,3895
NL,5815.0,3047.0,1809
NL,16744.0,12929.0,10330
NL,42901.0,41157.0,32704
NL,1569.0,1408.0,830
NL,400.0,742.0,285
NL,16949.0,14394.0,9364
NL,18529.0,12822.0,7994
NL,35173.0,24304.0,16688
NL,37363.0,23929.0,15976
NL,51010.0,24725.0,18167
NL,13161.0,7307.0,4452
NL,38076.0,13660.0,9715
NL,49592.0,19254.0,13255
NL,34696.0,17762.0,12612
NL,24654.0,15463.0,10650
NL,3387.0,3472.0,1910
NL,1854.0,2404.0,1359
NL,52036.0,20851.0,15435
NL,49177.0,42848.0,33492
NL,36150.0,29983.0,23591
NL,45836.0,31661.0,23034
NL,19670.0,15133.0,9727
NL,24627.0,15362.0,10722
NL,53115.0,20402.0,15195
NL,51694.0,18570.0,13997
NL,46042.0,18562.0,13670
NL,33831.0,13125.0,8786
NL,8136.0,9379.0,5971
NL,29878.0,30879.0,24446
NL,35870.0,34556.0,26176
NL,23919.0,24204.0,16470
NL,33326.0,23722.0,17334
NL,21018.0,17537.0,10919
NL,33415.0,31526.0,24430
NL,54427.0,38204.0,31573
NL,30415.0,28642.0,23056
NL,50758.0,21780.0,17043
NL,33618.0,17662.0,12256
NL,24088.0,16705.0,11542
NL,14615.0,10122.0,6670
NL,20558.0,3702.0,2014
NL,57048.0,3143.0,1660
NL,21688.0,16374.0,10130
NL,1471.0,1385.0,782
NL,21896.0,14583.0,10063
NL,49907.0,25397.0,18242
NL,50414.0,18439.0,14238
NL,3419.0,2260.0,1576
NL,15303.0,12374.0,10213
NL,53692.0,44498.0,37315
NL,38342.0,39074.0,30217
NL,41708.0,41792.0,28455
NL,43092.0,43387.0,31706
NL,6648.0,8530.0,4854
NL,30982.0,34648.0,23083
NL,18146.0,25706.0,15105
NL,15342.0,13517.0,10384
NL,36456.0,25410.0,20648
NL,16927.0,13977.0,8269
NL,5452.0,4719.0,3040
NL,15963.0,5400.0,2934
NL,705.0,1140.0,538
NL,35055.0,6954.0,3895
NL,18561.0,14664.0,9140
NL,2405.0,2113.0,1138
NL,2579.0,5370.0,2266
NL,41024.0,39664.0,32678
NL,46541.0,42481.0,34136
NL,32150.0,33324.0,25164
NL,43079.0,43192.0,32325
NL,10714.0,12710.0,9042
NL,10759.0,12592.0,9483
NL,32276.0,29763.0,22821
NL,52432.0,49227.0,39989
NL,45586.0,35267.0,27476
NL,22298.0,18821.0,12897
NL,21906.0,13927.0,11069
NL,23782.0,11406.0,8115
NL,34543.0,24672.0,18546
NL,22748.0,14062.0,9788
NL,20896.0,13356.0,8968
NL,31884.0,18536.0,12633
NL,30110.0,1735.0,937
NL,44096.0,21942.0,15780
NL,48441.0,24926.0,18133
NL,31980.0,15398.0,10495
NL,3667.0,3313.0,1763
NL,6832.0,4985.0,3098
NL,22663.0,15477.0,9624
NL,11957.0,8959.0,5333
NL,23476.0,13713.0,9111
NL,51064.0,49728.0,42155
NL,47804.0,45425.0,37319
NL,44329.0,38274.0,30908
NL,44263.0,45531.0,34372
NL,46879.0,43533.0,32319
